MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     1.289236E+01     7.244288E+00     3.004695E-02     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     1.896943E+01     7.244288E+00     3.294186E-01     3.092629E+00     4.818642E-02     1.000000E+00 
    2     4     2     5.603410E+00     3.620812E+00     4.420444E-01     4.388426E+00     3.094854E-01     1.000000E+00 
    3     7     3     5.207394E+00     3.528002E+00     5.351670E-01     5.180968E+00     4.137689E-01     1.000000E+00 
    4    18     4     5.165737E+00     3.527784E+00     5.495720E-01     5.274109E+00     3.822393E-01     1.000000E+00 
    5    21     5     5.209837E+00     3.480699E+00     6.605617E-01     6.235597E+00     5.171513E-01     1.000000E+00 
    6    32     6     5.210487E+00     3.480592E+00     6.763809E-01     6.318728E+00     5.073227E-01     1.000000E+00 
    7    43     7     5.221997E+00     3.480485E+00     6.710809E-01     6.312743E+00     5.000349E-01     1.000000E+00 
    8    54     8     5.250952E+00     3.480336E+00     6.890019E-01     6.471987E+00     4.987565E-01     1.000000E+00 
    9    65     9     5.265685E+00     3.480180E+00     6.907285E-01     6.476560E+00     4.971137E-01     1.000000E+00 
   10    76    10     5.283578E+00     3.480014E+00     6.968222E-01     6.539425E+00     4.971077E-01     1.000000E+00 
   11    87    11     5.288773E+00     3.479850E+00     7.058934E-01     6.596502E+00     4.983345E-01     1.000000E+00 
   12    98    12     5.309764E+00     3.479705E+00     7.090709E-01     6.621598E+00     4.968278E-01     1.000000E+00 
   13   109    13     5.337429E+00     3.479564E+00     7.225531E-01     6.707644E+00     4.981958E-01     1.000000E+00 
   14   120    14     5.380108E+00     3.479421E+00     7.322523E-01     6.776580E+00     4.965299E-01     1.000000E+00 
   15   131    15     5.408293E+00     3.479275E+00     7.418483E-01     6.848762E+00     4.989953E-01     1.000000E+00 
   16   142    16     5.402142E+00     3.479102E+00     7.467694E-01     6.867723E+00     4.992257E-01     1.000000E+00 
   17   153    17     5.396175E+00     3.478976E+00     7.477838E-01     6.899956E+00     5.002438E-01     1.000000E+00 
   18   164    18     5.402761E+00     3.478836E+00     7.558839E-01     6.892724E+00     4.998542E-01     1.000000E+00 
   19   175    19     5.430898E+00     3.478745E+00     7.672236E-01     7.040128E+00     5.001008E-01     1.000000E+00 
   20   186    20     5.465747E+00     3.478605E+00     7.762614E-01     6.989546E+00     5.001261E-01     1.000000E+00 
   21   197    21     5.488428E+00     3.478514E+00     7.899730E-01     7.216961E+00     5.016807E-01     1.000000E+00 
   22   208    22     5.479933E+00     3.478365E+00     7.843971E-01     7.049411E+00     5.015374E-01     1.000000E+00 
   23   219    23     5.471584E+00     3.478271E+00     7.938799E-01     7.186635E+00     5.031070E-01     1.000000E+00 
   24   230    24     5.472664E+00     3.478171E+00     7.933051E-01     7.121584E+00     5.024938E-01     1.000000E+00 
   25   241    25     5.490312E+00     3.478082E+00     8.075905E-01     7.224097E+00     5.020688E-01     1.000000E+00 
   26   252    26     5.513150E+00     3.478003E+00     8.137571E-01     7.267728E+00     5.028292E-01     1.000000E+00 
   27   263    27     5.540424E+00     3.477908E+00     8.219709E-01     7.284216E+00     5.020875E-01     1.000000E+00 
   28   274    28     5.549125E+00     3.477829E+00     8.262618E-01     7.365927E+00     5.048041E-01     1.000000E+00 
   29   285    29     5.544971E+00     3.477736E+00     8.245927E-01     7.308076E+00     5.036902E-01     1.000000E+00 
   30   296    30     5.536485E+00     3.477657E+00     8.298011E-01     7.354012E+00     5.059868E-01     1.000000E+00 
   31   307    31     5.539053E+00     3.477585E+00     8.306000E-01     7.365698E+00     5.046094E-01     1.000000E+00 
   32   318    32     5.547247E+00     3.477509E+00     8.341846E-01     7.349831E+00     5.055614E-01     1.000000E+00 
   33   329    33     5.560234E+00     3.477446E+00     8.330104E-01     7.401044E+00     5.068632E-01     1.000000E+00 
   34   340    34     5.582384E+00     3.477371E+00     8.301434E-01     7.300409E+00     5.069237E-01     1.000000E+00 
   35   351    35     5.587716E+00     3.477301E+00     8.340194E-01     7.429737E+00     5.089288E-01     1.000000E+00 
   36   362    36     5.579573E+00     3.477226E+00     8.207285E-01     7.265510E+00     5.085369E-01     1.000000E+00 
   37   373    37     5.580553E+00     3.477149E+00     8.283550E-01     7.385992E+00     5.092513E-01     1.000000E+00 
   38   384    38     5.566064E+00     3.477083E+00     8.115468E-01     7.263684E+00     5.092123E-01     1.000000E+00 
   39   395    39     5.580271E+00     3.477007E+00     8.177498E-01     7.319408E+00     5.092247E-01     1.000000E+00 
   40   406    40     5.580499E+00     3.476947E+00     8.086140E-01     7.261346E+00     5.100274E-01     1.000000E+00 
   41   417    41     5.603917E+00     3.476871E+00     8.117739E-01     7.310669E+00     5.102228E-01     1.000000E+00 
   42   428    42     5.619418E+00     3.476808E+00     8.161098E-01     7.308154E+00     5.113260E-01     1.000000E+00 
   43   439    43     5.607177E+00     3.476729E+00     8.050725E-01     7.252471E+00     5.118352E-01     1.000000E+00 
   44   450    44     5.609429E+00     3.476656E+00     8.083873E-01     7.264760E+00     5.119058E-01     1.000000E+00 
   45   461    45     5.585946E+00     3.476586E+00     7.949577E-01     7.207640E+00     5.121395E-01     1.000000E+00 
   46   472    46     5.605513E+00     3.476512E+00     8.007345E-01     7.227026E+00     5.111982E-01     1.000000E+00 
   47   483    47     5.611491E+00     3.476453E+00     8.018156E-01     7.234043E+00     5.130874E-01     1.000000E+00 
   48   494    48     5.653484E+00     3.476371E+00     8.068698E-01     7.206209E+00     5.118837E-01     1.000000E+00 
   49   505    49     5.663935E+00     3.476310E+00     8.148410E-01     7.281043E+00     5.156050E-01     1.000000E+00 
   50   516    50     5.640760E+00     3.476212E+00     7.948012E-01     7.133755E+00     5.144015E-01     1.000000E+00 
   51   527    51     5.636571E+00     3.476139E+00     7.971236E-01     7.226501E+00     5.150907E-01     1.000000E+00 
   52   538    52     5.622922E+00     3.476064E+00     7.849786E-01     7.117407E+00     5.149753E-01     1.000000E+00 
   53   549    53     5.654842E+00     3.475985E+00     7.935548E-01     7.220624E+00     5.138423E-01     1.000000E+00 
   54   560    54     5.675396E+00     3.475925E+00     7.956217E-01     7.191083E+00     5.172010E-01     1.000000E+00 
   55   571    55     5.693521E+00     3.475817E+00     7.941933E-01     7.191994E+00     5.149197E-01     1.000000E+00 
   56   582    56     5.675877E+00     3.475753E+00     7.917537E-01     7.169240E+00     5.192633E-01     1.000000E+00 
   57   593    57     5.654401E+00     3.475648E+00     7.808503E-01     7.102905E+00     5.163630E-01     1.000000E+00 
   58   604    58     5.654453E+00     3.475580E+00     7.838437E-01     7.136938E+00     5.179704E-01     1.000000E+00 
   59   615    59     5.654088E+00     3.475501E+00     7.781826E-01     7.070491E+00     5.170730E-01     1.000000E+00 
   60   626    60     5.677425E+00     3.475428E+00     7.891066E-01     7.158216E+00     5.182221E-01     1.000000E+00 
   61   637    61     5.709158E+00     3.475357E+00     7.894882E-01     7.158452E+00     5.191448E-01     1.000000E+00 
   62   648    62     5.727571E+00     3.475266E+00     8.023357E-01     7.213611E+00     5.190287E-01     1.000000E+00 
   63   659    63     5.730414E+00     3.475187E+00     7.928500E-01     7.189104E+00     5.207262E-01     1.000000E+00 
   64   670    64     5.704689E+00     3.475086E+00     7.933851E-01     7.190792E+00     5.196040E-01     1.000000E+00 
   65   681    65     5.706046E+00     3.475003E+00     7.860819E-01     7.107181E+00     5.204928E-01     1.000000E+00 
   66   692    66     5.709645E+00     3.474921E+00     7.925877E-01     7.217569E+00     5.196593E-01     1.000000E+00 
   67   703    67     5.741687E+00     3.474831E+00     7.983037E-01     7.155178E+00     5.209931E-01     1.000000E+00 
   68   714    68     5.756382E+00     3.474754E+00     8.038580E-01     7.288357E+00     5.216295E-01     1.000000E+00 
   69   725    69     5.755906E+00     3.474644E+00     8.034295E-01     7.161170E+00     5.227854E-01     1.000000E+00 
   70   736    70     5.730133E+00     3.474561E+00     7.921528E-01     7.226011E+00     5.233644E-01     1.000000E+00 
   71   747    71     5.723203E+00     3.474464E+00     7.925752E-01     7.155993E+00     5.229725E-01     1.000000E+00 
   72   758    72     5.713946E+00     3.474383E+00     7.879425E-01     7.169705E+00     5.230911E-01     1.000000E+00 
   73   769    73     5.738714E+00     3.474301E+00     7.969023E-01     7.245640E+00     5.226357E-01     1.000000E+00 
   74   780    74     5.756987E+00     3.474216E+00     8.055015E-01     7.191762E+00     5.245892E-01     1.000000E+00 
   75   791    75     5.779592E+00     3.474133E+00     8.094193E-01     7.351669E+00     5.237754E-01     1.000000E+00 
   76   802    76     5.767955E+00     3.474035E+00     8.112790E-01     7.223635E+00     5.264893E-01     1.000000E+00 
   77   813    77     5.746469E+00     3.473948E+00     7.984607E-01     7.285035E+00     5.249048E-01     1.000000E+00 
   78   824    78     5.750147E+00     3.473857E+00     8.043889E-01     7.236253E+00     5.263095E-01     1.000000E+00 
   79   835    79     5.733708E+00     3.473777E+00     7.956762E-01     7.259017E+00     5.249625E-01     1.000000E+00 
   80   846    80     5.768769E+00     3.473694E+00     8.065948E-01     7.299298E+00     5.263364E-01     1.000000E+00 
   81   857    81     5.789554E+00     3.473617E+00     8.121277E-01     7.319893E+00     5.259268E-01     1.000000E+00 
   82   868    82     5.795272E+00     3.473527E+00     8.140490E-01     7.424501E+00     5.286966E-01     1.000000E+00 
   83   879    83     5.781451E+00     3.473438E+00     8.138761E-01     7.354605E+00     5.281156E-01     1.000000E+00 
   84   890    84     5.752018E+00     3.473353E+00     8.028352E-01     7.340077E+00     5.285517E-01     1.000000E+00 
   85   901    85     5.756435E+00     3.473267E+00     8.051157E-01     7.314726E+00     5.285552E-01     1.000000E+00 
   86   912    86     5.753605E+00     3.473198E+00     8.024827E-01     7.310061E+00     5.279196E-01     1.000000E+00 
   87   923    87     5.766896E+00     3.473110E+00     8.075395E-01     7.348063E+00     5.289851E-01     1.000000E+00 
   88   934    88     5.786182E+00     3.473046E+00     8.142165E-01     7.324123E+00     5.286122E-01     1.000000E+00 
   89   945    89     5.793176E+00     3.472954E+00     8.163366E-01     7.430004E+00     5.297621E-01     1.000000E+00 
   90   956    90     5.797449E+00     3.472881E+00     8.198053E-01     7.366298E+00     5.299370E-01     1.000000E+00 
   91   967    91     5.779955E+00     3.472797E+00     8.118338E-01     7.421703E+00     5.304694E-01     1.000000E+00 
   92   978    92     5.776492E+00     3.472712E+00     8.095508E-01     7.300365E+00     5.311441E-01     1.000000E+00 
   93   989    93     5.777444E+00     3.472649E+00     8.058223E-01     7.367147E+00     5.308433E-01     1.000000E+00 
   94  1000    94     5.772545E+00     3.472556E+00     8.039663E-01     7.288040E+00     5.313466E-01     1.000000E+00 
   95  1011    95     5.784397E+00     3.472501E+00     8.061570E-01     7.337582E+00     5.313393E-01     1.000000E+00 
   96  1022    96     5.787793E+00     3.472405E+00     8.092581E-01     7.353681E+00     5.314003E-01     1.000000E+00 
   97  1033    97     5.797970E+00     3.472348E+00     8.139446E-01     7.376220E+00     5.320518E-01     1.000000E+00 
   98  1044    98     5.812450E+00     3.472255E+00     8.211405E-01     7.439689E+00     5.320782E-01     1.000000E+00 
   99  1055    99     5.805564E+00     3.472189E+00     8.199857E-01     7.379826E+00     5.327290E-01     1.000000E+00 
  100  1066   100     5.811773E+00     3.472110E+00     8.226673E-01     7.454334E+00     5.330337E-01     1.000000E+00 
  101  1077   101     5.785537E+00     3.472031E+00     8.149779E-01     7.392160E+00     5.330014E-01     1.000000E+00 
  102  1088   102     5.795048E+00     3.471970E+00     8.174152E-01     7.423258E+00     5.337488E-01     1.000000E+00 
  103  1099   103     5.784924E+00     3.471883E+00     8.174696E-01     7.450988E+00     5.335051E-01     1.000000E+00 
  104  1110   104     5.802253E+00     3.471832E+00     8.221861E-01     7.451247E+00     5.345558E-01     1.000000E+00 
  105  1121   105     5.815419E+00     3.471733E+00     8.314500E-01     7.596281E+00     5.340521E-01     1.000000E+00 
  106  1132   106     5.820461E+00     3.471687E+00     8.290315E-01     7.512196E+00     5.354837E-01     1.000000E+00 
  107  1143   107     5.830034E+00     3.471583E+00     8.361162E-01     7.645628E+00     5.346961E-01     1.000000E+00 
  108  1154   108     5.798179E+00     3.471528E+00     8.236698E-01     7.460976E+00     5.362143E-01     1.000000E+00 
  109  1165   109     5.808640E+00     3.471453E+00     8.290456E-01     7.589498E+00     5.354625E-01     1.000000E+00 
