MAJOR NFEV NGEV OBJFUN GNORM CNORM FEAS OPT STEP
0 0 0 3.5559187360878738e+01 1.7081239818401901e+01 3.0981805308236913e-03 3.0981805308207822e-03 0 1.0000000000000000e+00
1 0 0 2.1784152875792586e+01 1.0196773282923496e+01 3.0981805308248241e-03 3.0981805308218924e-03 0 1.0000000000000000e+00
2 0 0 1.6715343269898632e+01 8.2663239314125345e+00 3.0981805308221378e-03 3.0981805308192278e-03 0 1.0000000000000000e+00
3 0 0 1.4310498378807317e+01 7.3840529954719853e+00 3.0981805308234718e-03 3.0981805308205601e-03 0 1.0000000000000000e+00
4 0 0 1.3040678810215718e+01 6.9215130726879135e+00 3.0981805308230252e-03 3.0981805308201160e-03 0 1.0000000000000000e+00
5 0 0 1.2352085534360292e+01 6.6710435143048210e+00 3.0981805308221374e-03 3.0981805308192278e-03 0 1.0000000000000000e+00
6 0 0 1.2000933520311790e+01 6.5420471764483841e+00 3.0981805308243579e-03 3.0981805308214483e-03 0 1.0000000000000000e+00
7 0 0 1.1863992644306599e+01 6.4888329522264030e+00 3.0981805308221365e-03 3.0981805308192278e-03 0 1.0000000000000000e+00
8 0 0 1.3198378280034975e+00 6.4860310642414696e+00 3.0981805308232476e-03 3.0981805308203381e-03 0 5.0000000000000000e-01
9 0 0 1.2510392546919236e+00 3.0247461456107699e-01 3.0981805308216929e-03 3.0981805308187838e-03 0 1.0000000000000000e+00
10 0 0 1.1972085858830175e+00 2.6617977700080714e-01 3.0981805308239133e-03 3.0981805308210042e-03 0 1.0000000000000000e+00
11 0 0 1.1540978352095861e+00 2.3772555541386353e-01 3.0981805308230252e-03 3.0981805308201160e-03 0 1.0000000000000000e+00
12 0 0 1.1189484758006700e+00 2.1501439627590482e-01 3.0981805308221370e-03 3.0981805308192278e-03 0 1.0000000000000000e+00
13 0 0 1.0898117832923093e+00 1.9663225040827531e-01 3.0981805308230252e-03 3.0981805308201160e-03 0 1.0000000000000000e+00
14 0 0 1.0653567079601354e+00 1.8160460035164547e-01 3.0981805308212488e-03 3.0981805308183397e-03 0 1.0000000000000000e+00
15 0 0 1.0445695935047747e+00 1.6922629261279351e-01 3.0981805308223590e-03 3.0981805308194499e-03 0 1.0000000000000000e+00
16 0 0 1.0267418208746832e+00 1.5898538557237629e-01 3.0981805308239133e-03 3.0981805308210042e-03 0 1.0000000000000000e+00
17 0 0 1.0112945941945988e+00 1.5049123905926001e-01 3.0981805308241354e-03 3.0981805308212262e-03 0 1.0000000000000000e+00
18 0 0 9.9782335126459076e-01 1.4344876464641590e-01 3.0981805308239133e-03 3.0981805308210042e-03 0 1.0000000000000000e+00
